sex,variant,n_train,n_test,n_features_used,best_params,cv_best_auc,train_auc,test_auc,train_accuracy,test_accuracy,train_bal_acc,test_bal_acc,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1
M,tnpca,385,97,86,"{""model__interactions"": 0, ""model__learning_rate"": 0.01, ""model__max_bins"": 32, ""model__max_leaves"": 3, ""model__min_samples_leaf"": 100, ""model__outer_bags"": 16}",0.5823655913978495,0.9895483870967742,0.6261808367071524,0.9506493506493506,0.7319587628865979,0.9137634408602151,0.5347503373819162,0.8888888888888888,0.26666666666666666,0.8533333333333334,0.21052631578947367,0.8707482993197277,0.23529411764705882
M,cog_only,385,97,46,"{""model__interactions"": 0, ""model__learning_rate"": 0.01, ""model__max_bins"": 32, ""model__max_leaves"": 3, ""model__min_samples_leaf"": 100, ""model__outer_bags"": 16}",0.5939784946236559,0.9556129032258065,0.6309041835357625,0.9038961038961039,0.7628865979381443,0.8038709677419356,0.5738866396761133,0.8275862068965517,0.35714285714285715,0.64,0.2631578947368421,0.7218045112781956,0.30303030303030304
M,tnpca_only,389,98,40,"{""model__interactions"": 0, ""model__learning_rate"": 0.01, ""model__max_bins"": 32, ""model__max_leaves"": 2, ""model__min_samples_leaf"": 100, ""model__outer_bags"": 16}",0.6101939324116743,0.9616613418530351,0.5163224516988674,0.8920308483290489,0.6530612244897959,0.8880738187321338,0.524983344437042,0.67,0.2222222222222222,0.881578947368421,0.3157894736842105,0.7613636363636364,0.2608695652173913
F,tnpca,447,112,86,"{""model__interactions"": 0, ""model__learning_rate"": 0.01, ""model__max_bins"": 32, ""model__max_leaves"": 3, ""model__min_samples_leaf"": 50, ""model__outer_bags"": 16}",0.5729113924050633,1.0,0.7241647241647242,1.0,0.8214285714285714,1.0,0.46464646464646464,1.0,0.0,1.0,0.0,1.0,0.0
F,cog_only,447,112,46,"{""model__interactions"": 0, ""model__learning_rate"": 0.01, ""model__max_bins"": 32, ""model__max_leaves"": 3, ""model__min_samples_leaf"": 50, ""model__outer_bags"": 16}",0.4909303797468355,0.9817632241813601,0.5835275835275835,0.9485458612975392,0.8392857142857143,0.7787405541561714,0.5081585081585082,0.9655172413793104,0.14285714285714285,0.56,0.07692307692307693,0.7088607594936709,0.1
F,tnpca_only,456,115,40,"{""model__interactions"": 0, ""model__learning_rate"": 0.01, ""model__max_bins"": 32, ""model__max_leaves"": 3, ""model__min_samples_leaf"": 100, ""model__outer_bags"": 16}",0.5975533108866442,0.9862987170176711,0.5512820512820513,0.9539473684210527,0.7304347826086957,0.9397966594045025,0.5124434389140271,0.734375,0.125,0.9215686274509803,0.23076923076923078,0.8173913043478261,0.16216216216216217
M,vae,385,97,86,"{""model__interactions"": 0, ""model__learning_rate"": 0.01, ""model__max_bins"": 32, ""model__max_leaves"": 3, ""model__min_samples_leaf"": 100, ""model__outer_bags"": 16}",0.6651612903225808,1.0,0.6443994601889338,1.0,0.7938144329896907,1.0,0.5931174089068826,1.0,0.45454545454545453,1.0,0.2631578947368421,1.0,0.3333333333333333
M,vae_only,389,98,40,"{""model__interactions"": 0, ""model__learning_rate"": 0.01, ""model__max_bins"": 32, ""model__max_leaves"": 2, ""model__min_samples_leaf"": 100, ""model__outer_bags"": 16}",0.7060257723160949,0.9401799226500757,0.5049966688874084,0.8868894601542416,0.6632653061224489,0.8599714141583992,0.49133910726182545,0.6739130434782609,0.18181818181818182,0.8157894736842105,0.21052631578947367,0.7380952380952381,0.1951219512195122
F,vae,447,112,86,"{""model__interactions"": 0, ""model__learning_rate"": 0.01, ""model__max_bins"": 32, ""model__max_leaves"": 2, ""model__min_samples_leaf"": 50, ""model__outer_bags"": 16}",0.6127911392405062,0.9994458438287154,0.4794094794094794,0.9977628635346756,0.8125,0.99,0.493006993006993,1.0,0.1,0.98,0.07692307692307693,0.98989898989899,0.08695652173913043
F,vae_only,456,115,40,"{""model__interactions"": 0, ""model__learning_rate"": 0.01, ""model__max_bins"": 32, ""model__max_leaves"": 2, ""model__min_samples_leaf"": 50, ""model__outer_bags"": 16}",0.6622895622895624,0.9821834906802227,0.5015082956259427,0.9605263157894737,0.782608695652174,0.9263616557734204,0.5082956259426847,0.7894736842105263,0.125,0.8823529411764706,0.15384615384615385,0.8333333333333333,0.13793103448275862
