sex,variant,n_train,n_test,cv_best_auc,train_auc,test_auc,train_acc,test_acc,best_params
M,tnpca,385,97,0.5516129032258066,1.0,0.5897435897435896,1.0,0.8041237113402062,"{'rf__max_depth': 10, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 1, 'rf__n_estimators': 300}"
M,cog_only,385,97,0.6019354838709677,1.0,0.5168690958164642,1.0,0.7628865979381443,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__n_estimators': 500}"
M,tnpca_only,389,98,0.4858444273766855,1.0,0.5696202531645569,1.0,0.7959183673469388,"{'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__n_estimators': 500}"
F,tnpca,447,112,0.6041012658227849,1.0,0.5229215229215229,1.0,0.8839285714285714,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__n_estimators': 500}"
F,cog_only,447,112,0.5627215189873417,0.9707808564231738,0.554001554001554,0.9440715883668904,0.8392857142857143,"{'rf__max_depth': 10, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 10, 'rf__n_estimators': 300}"
F,tnpca_only,456,115,0.5159371492704826,1.0,0.5090497737556561,1.0,0.8695652173913043,"{'rf__max_depth': 10, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 1, 'rf__n_estimators': 300}"
M,vae,385,97,0.5387096774193548,1.0,0.7031039136302295,1.0,0.7938144329896907,"{'rf__max_depth': 10, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 1, 'rf__n_estimators': 300}"
M,vae_only,389,98,0.5345521846731525,1.0,0.419053964023984,1.0,0.7653061224489796,"{'rf__max_depth': 10, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 1, 'rf__n_estimators': 300}"
F,vae,447,112,0.612751582278481,1.0,0.4832944832944833,1.0,0.8839285714285714,"{'rf__max_depth': 20, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 1, 'rf__n_estimators': 300}"
F,vae_only,456,115,0.5308866442199776,1.0,0.5407239819004525,0.9912280701754386,0.8608695652173913,"{'rf__max_depth': None, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 5, 'rf__n_estimators': 500}"
M,pca,385,97,0.5488172043010753,1.0,0.659919028340081,1.0,0.8041237113402062,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__n_estimators': 300}"
M,pca_only,389,98,0.526478494623656,1.0,0.5336442371752165,0.9974293059125964,0.7959183673469388,"{'rf__max_depth': None, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 5, 'rf__n_estimators': 300}"
F,pca,447,112,0.4978560126582279,1.0,0.6134421134421135,1.0,0.8839285714285714,"{'rf__max_depth': None, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 1, 'rf__n_estimators': 500}"
F,pca_only,456,115,0.5404040404040404,0.9997095134350036,0.37104072398190047,0.993421052631579,0.8521739130434782,"{'rf__max_depth': 10, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 5, 'rf__n_estimators': 300}"
